iso3,unidad,desde_meses,hasta_meses,operador_frontera,dias,tipo_de_dia,literal_normativo
ARG,Buenos Aires,0,6,tras_completar,0.0,calendario,Art. 150 LCT: 'El trabajador gozara de un periodo minimo y continuado de descanso anual remunerado' de catorce (14) dias corridos cuando la antiguedad en el empleo no exceda de cinco (5) anos; veintiu
ARG,Buenos Aires,6,60,tras_completar,14.0,calendario,Art. 150 LCT: 'El trabajador gozara de un periodo minimo y continuado de descanso anual remunerado' de catorce (14) dias corridos cuando la antiguedad en el empleo no exceda de cinco (5) anos; veintiu
ARG,Buenos Aires,60,120,tras_completar,21.0,calendario,Art. 150 LCT: 'El trabajador gozara de un periodo minimo y continuado de descanso anual remunerado' de catorce (14) dias corridos cuando la antiguedad en el empleo no exceda de cinco (5) anos; veintiu
ARG,Buenos Aires,120,240,tras_completar,28.0,calendario,Art. 150 LCT: 'El trabajador gozara de un periodo minimo y continuado de descanso anual remunerado' de catorce (14) dias corridos cuando la antiguedad en el empleo no exceda de cinco (5) anos; veintiu
ARG,Buenos Aires,240,,tras_completar,35.0,calendario,Art. 150 LCT: 'El trabajador gozara de un periodo minimo y continuado de descanso anual remunerado' de catorce (14) dias corridos cuando la antiguedad en el empleo no exceda de cinco (5) anos; veintiu
AUS,Sídney,0,,tras_completar,4.0,semanas,"Fair Work Act 2009 s. 87(1): por cada ano de servicio el trabajador tiene derecho a 4 semanas de licencia anual pagada, o 5 semanas si califica como shiftworker bajo s. 87(3). s. 87(2): el derecho se "
AUT,Viena,0,6,tras_completar,0.0,werktage,"UrlG §2 Abs 1: el Urlaubsausmass es de 30 Werktage con una Dienstzeit menor a 25 anos, y sube a 36 Werktage cumplido el ano 25. §2 Abs 2: son Werktage los dias de lunes a sabado que NO sean feriados l"
AUT,Viena,6,300,tras_completar,30.0,werktage,"UrlG §2 Abs 1: el Urlaubsausmass es de 30 Werktage con una Dienstzeit menor a 25 anos, y sube a 36 Werktage cumplido el ano 25. §2 Abs 2: son Werktage los dias de lunes a sabado que NO sean feriados l"
AUT,Viena,300,,tras_completar,36.0,werktage,"UrlG §2 Abs 1: el Urlaubsausmass es de 30 Werktage con una Dienstzeit menor a 25 anos, y sube a 36 Werktage cumplido el ano 25. §2 Abs 2: son Werktage los dias de lunes a sabado que NO sean feriados l"
BEL,Bruselas,0,12,tras_completar,0.0,habil,"AR 30.03.1967 art. 35 §1: tabla de duracion, con la columna encabezada 'Nombre de jours de vacances legales (exprime en jours dans le standard d'un regime de travail de 5 jours par semaine a temps ple"
BEL,Bruselas,12,,tras_completar,20.0,habil,"AR 30.03.1967 art. 35 §1: tabla de duracion, con la columna encabezada 'Nombre de jours de vacances legales (exprime en jours dans le standard d'un regime de travail de 5 jours par semaine a temps ple"
BGR,Sofía,0,4,tras_completar,0.0,habil,"чл. 155 ал. 4 КТ: 'Размерът на основния платен годишен отпуск е не по-малко от 20 работни дни.' чл. 155 ал. 2: al emplearse por primera vez, el trabajador puede usar su permiso anual retribuido cuando"
BGR,Sofía,0,8,tras_completar,0.0,habil,"§ 17 de la ley modificatoria: «В чл. 155, ал. 2 и 3 думите “8 месеца” се заменят с “4 месеца”.» O sea que hasta esa reforma el trabajador que empezaba a trabajar por primera vez necesitaba OCHO meses "
BGR,Sofía,4,,tras_completar,20.0,habil,"чл. 155 ал. 4 КТ: 'Размерът на основния платен годишен отпуск е не по-малко от 20 работни дни.' чл. 155 ал. 2: al emplearse por primera vez, el trabajador puede usar su permiso anual retribuido cuando"
BGR,Sofía,8,,tras_completar,20.0,habil,"§ 17 de la ley modificatoria: «В чл. 155, ал. 2 и 3 думите “8 месеца” се заменят с “4 месеца”.» O sea que hasta esa reforma el trabajador que empezaba a trabajar por primera vez necesitaba OCHO meses "
BRA,São Paulo,0,12,tras_completar,0.0,calendario,"CLT art. 130: 'Apos cada periodo de 12 (doze) meses de vigencia do contrato de trabalho, o empregado tera direito a ferias, na seguinte proporcao: I - 30 (trinta) dias corridos, quando nao houver falt"
BRA,São Paulo,12,,tras_completar,30.0,calendario,"CLT art. 130: 'Apos cada periodo de 12 (doze) meses de vigencia do contrato de trabalho, o empregado tera direito a ferias, na seguinte proporcao: I - 30 (trinta) dias corridos, quando nao houver falt"
CAN,Toronto,0,12,tras_completar,0.0,semanas,two weeks of vacation time
CAN,Toronto,0,12,tras_completar,0.0,semanas,Texto vigente en la version historica oficial del periodo 3 a 31 de diciembre de 2017: «33 (1) An employer shall give an employee a vacation of at least two weeks after each vacation entitlement year 
CAN,Toronto,12,60,tras_completar,2.0,semanas,two weeks of vacation time
CAN,Toronto,12,,tras_completar,2.0,semanas,Texto vigente en la version historica oficial del periodo 3 a 31 de diciembre de 2017: «33 (1) An employer shall give an employee a vacation of at least two weeks after each vacation entitlement year 
CAN,Toronto,60,,tras_completar,3.0,semanas,two weeks of vacation time
CHE,Zúrich,0,12,tras_completar,0.0,semanas,Der Arbeitgeber hat dem Arbeitnehmer jedes Dienstjahr wenigstens vier Wochen... Ferien zu gewaehren (Art. 329a Abs. 1 OR)
CHE,Zúrich,12,,tras_completar,4.0,semanas,Der Arbeitgeber hat dem Arbeitnehmer jedes Dienstjahr wenigstens vier Wochen... Ferien zu gewaehren (Art. 329a Abs. 1 OR)
CHL,Santiago,0,12,tras_completar,0.0,habil,"Codigo del Trabajo art. 67: 'Los trabajadores con mas de un ano de servicio tendran derecho a un feriado anual de quince dias habiles, con remuneracion integra que se otorgara de acuerdo con las forma"
CHL,Santiago,12,,tras_completar,15.0,habil,"Codigo del Trabajo art. 67: 'Los trabajadores con mas de un ano de servicio tendran derecho a un feriado anual de quince dias habiles, con remuneracion integra que se otorgara de acuerdo con las forma"
COL,Bogotá,0,12,tras_completar,0.0,habil,Los trabajadores que hubieren prestado sus servicios durante un ano tienen derecho a quince (15) dias habiles consecutivos de vacaciones remuneradas
