regla_id,iso3,unidad,feriado_id,feriado,categoria,regimen,duracion_dias,recurrencia,periodo_anios,clase_de_fecha,calendario,mes,dia,ordinal,dia_semana,ancla,offset_dias,instrumento_remitido,dia_lunar_desde_fin,conjunto_de_referencia,condicion_referencia,condicion_dia_semana,vigencia_desde,vigencia_hasta,cobertura,elegibilidad,sector
275,ARG,Buenos Aires,274,Lunes de Carnaval,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,relativa,gregoriano,,,,,pascua,-48,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
277,ARG,Buenos Aires,276,Martes de Carnaval,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,relativa,gregoriano,,,,,pascua,-47,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
281,ARG,Buenos Aires,280,Viernes Santo,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,relativa,gregoriano,,,,,pascua,-2,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
273,ARG,Buenos Aires,272,Año Nuevo,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,1,1,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
279,ARG,Buenos Aires,278,Día Nacional de la Memoria por la Verdad y la Justicia,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,3,24,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
283,ARG,Buenos Aires,282,Día del Veterano y de los Caídos en la Guerra de Malvinas,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,4,2,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
285,ARG,Buenos Aires,284,Día del Trabajador,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,5,1,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
287,ARG,Buenos Aires,286,Día de la Revolución de Mayo,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,5,25,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
297,ARG,Buenos Aires,296,Paso a la Inmortalidad del General Martín Miguel de Güemes,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,6,17,,,,,,,,,,2018-01-01,,todo_el_pais,sin_condicion,privado
289,ARG,Buenos Aires,288,Paso a la Inmortalidad del General Manuel Belgrano,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,6,20,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
291,ARG,Buenos Aires,290,Día de la Independencia,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,7,9,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
299,ARG,Buenos Aires,298,Paso a la Inmortalidad del General José de San Martín,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,8,17,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
301,ARG,Buenos Aires,300,Día del Respeto a la Diversidad Cultural,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,10,12,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
303,ARG,Buenos Aires,302,Día de la Soberanía Nacional,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,11,20,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
293,ARG,Buenos Aires,292,Inmaculada Concepción de María,descanso_pagado_obligatorio,descanso_obligatorio,1.0,recurrente,1,fija,gregoriano,12,8,,,,,,,,,,2016-01-01,,todo_el_pais,sin_condicion,privado
