iso3,unidad,autoridad,nivel,fecha_de_norma,url,version_archivada
ARG,Buenos Aires,Ley 27.802 - Ley de Modernizacion Laboral,1,2026-03-06,https://www.boletinoficial.gob.ar/detalleAviso/primera/339128/20260306,PENDIENTE DE ARCHIVAR
AUS,Sídney,"Fair Work Act 2009 (Cth), secciones 62, 64, 114 y 115. Compilation No. 73, compilation date 07/07/2026, Authorised Versi",1,,https://www.legislation.gov.au/C2009A00028/latest/text,PENDIENTE DE ARCHIVAR
BEL,Bruselas,Arrete royal du 18 avril 1974 determinant les modalites generales d'execution de la loi du 4 janvier 1974 relative aux j,1,,https://www.ejustice.just.fgov.be/eli/arrete/1974/04/18/1974041801/justel,PENDIENTE DE ARCHIVAR
BEL,Bruselas,"Loi du 16 mars 1971 sur le travail, art. 11 (repos du dimanche), art. 19 (duree du travail), art. 20 §1 y art. 20bis/1 (",1,,https://www.ejustice.just.fgov.be/cgi_loi/change_lg.pl?language=fr&la=F&cn=1971031602&table_name=loi,PENDIENTE DE ARCHIVAR
BRA,São Paulo,"Constituição da República Federativa do Brasil de 1988, artículo 7º, incisos XIII y XV",1,1988-10-05,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,PENDIENTE DE ARCHIVAR
CAN,Toronto,"Canada Labour Code (RSC 1985, c. L-2)",1,,https://laws.justice.gc.ca/eng/acts/l-2/page-26.html,PENDIENTE DE ARCHIVAR
CAN,Toronto,"Employment Standards Act, 2000, S.O. 2000, c. 41, s. 17 (Limit on hours of work)",1,,https://www.ontario.ca/laws/statute/00e41,PENDIENTE DE ARCHIVAR
CHE,Zúrich,"Loi federale du 13 mars 1964 sur le travail dans l'industrie, l'artisanat et le commerce (LTr), RS 822.11: art. 9 (duree",1,,https://www.fedlex.admin.ch/eli/cc/1966/57_57_57/fr,PENDIENTE DE ARCHIVAR
CRI,San José,Ley 9803 — Celebracion nacional del 1 de diciembre como Día de la Abolición del Ejército y día feriado de pago no obliga,1,2020-07-02,https://www.imprentanacional.go.cr/pub/2020/07/02/COMP_02_07_2020.pdf,PENDIENTE DE ARCHIVAR
DEU,Berlín,"Bundesurlaubsgesetz (BUrlG), § 3 Dauer des Urlaubs",1,,https://www.gesetze-im-internet.de/burlg/__3.html,PENDIENTE DE ARCHIVAR
DEU,Berlín,"Arbeitszeitgesetz (ArbZG) vom 6. Juni 1994, § 3 (Arbeitszeit der Arbeitnehmer)",1,,https://www.gesetze-im-internet.de/arbzg/__3.html,PENDIENTE DE ARCHIVAR
DNK,Copenhague,"Ferieloven — Bekendtgorelse af lov om ferie, LBK nr. 230 af 12/02/2021 (refunde la lov nr. 60 af 30. januar 2018); artic",1,2021-02-12,https://www.retsinformation.dk/eli/lta/2021/230/pdf,PENDIENTE DE ARCHIVAR
DNK,Copenhague,Lov nr. 214 af 6. marts 2023 om konsekvenser ved afskaffelsen af store bededag som helligdag,1,2023-03-07,https://www.retsinformation.dk/eli/lta/2023/214/pdf,PENDIENTE DE ARCHIVAR
ECU,Guayaquil,Ley Organica Reformatoria a la Ley Organica del Servicio Publico y al Código del Trabajo — Registro Oficial Suplemento 9,1,2016-12-20,https://www.arcotel.gob.ec/wp-content/uploads/2017/03/017_ley-reformatoria-ley-organica-s-p.pdf,PENDIENTE DE ARCHIVAR
ESP,Madrid,"Real Decreto Legislativo 2/2015, texto refundido de la Ley del Estatuto de los Trabajadores; articulos 37.2 y 38",1,2015-10-24,https://www.boe.es/buscar/act.php?id=BOE-A-2015-11430,PENDIENTE DE ARCHIVAR
ESP,Madrid,"Decreto 75/2025, de 24 de septiembre, del Consejo de Gobierno, por el que se establecen las fiestas laborales para el añ",1,2025-09-25,https://www.bocm.es/boletin/CM_Orden_BOCM/2025/09/25/BOCM-20250925-16.PDF,PENDIENTE DE ARCHIVAR
ESP,Madrid,"Resolucion de 17 de octubre de 2025, de la Direccion General de Trabajo, por la que se publica la relacion de fiestas la",1,2025-10-28,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-21667,PENDIENTE DE ARCHIVAR
ESP,Madrid,"Resolucion de 2 de diciembre de 2025, de la Direccion General de Trabajo de la Comunidad de Madrid, por la que se declar",1,2025-12-12,https://www.bocm.es/boletin/CM_Orden_BOCM/2025/12/12/BOCM-20251212-34.PDF,PENDIENTE DE ARCHIVAR
FIN,Helsinki,"Tyoaikalaki 872/2019, 5 § (Saannollinen tyoaika), 25 § (Vuorokausilepo), 27 § (Viikkolepo), 48 § (Voimaantulo)",1,,https://opendata.finlex.fi/finlex/avoindata/v1/akn/fi/act/statute/2019/872/fin@,PENDIENTE DE ARCHIVAR
FRA,París,"LOI n° 2016-1088 du 8 aout 2016 relative au travail, a la modernisation du dialogue social et a la securisation des parc",1,2016-08-09,https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000032983655,PENDIENTE DE ARCHIVAR
GBR,Londres,"The Working Time Regulations 1998 (SI 1998/1833), regs. 4, 10 y 11",1,1998-07-30,https://www.legislation.gov.uk/uksi/1998/1833/contents,PENDIENTE DE ARCHIVAR
GRC,Atenas,"Π.Δ. 62/2025 «Κωδικας Εργατικου Δικαιου» — Código de Derecho del Trabajo, ΦΕΚ Α΄121 de 11-jul-2025",1,2025-07-11,https://www.elinyae.gr/sites/default/files/2025-07/121%CE%B1_2025.pdf,PENDIENTE DE ARCHIVAR
GRC,Atenas,"Π.Δ. 62/2025, «Κώδικας Εργατικού Δικαίου» (Código de Derecho del Trabajo), artículos 173, 187, 188, 189, 194, 203, 204 y",1,,https://www.elinyae.gr/sites/default/files/2025-07/121%CE%B1_2025.pdf,PENDIENTE DE ARCHIVAR
HND,Tegucigalpa,Decreto No. 75-2014 — unificacion y traslado de los feriados de octubre,1,2014-09-29,https://www.tsc.gob.hn/web/leyes/DECRETO%20No%2075-2014%20Unificaci%C3%B3n%20y%20traslado%20feriados%20mes%20de%20octubre.pdf,PENDIENTE DE ARCHIVAR
HND,Tegucigalpa,Decreto No. 78-2015 — reforma el art. 1 del Decreto 75-2014; crea la denominacion «Semana Morazánica»,1,2015-09-14,https://www.tsc.gob.hn/web/leyes/Decreto_78-2015_Traslado_de_Feriados_Octubre.pdf,PENDIENTE DE ARCHIVAR
HND,Tegucigalpa,Decreto No. 188-2012 — declara el 3 de febrero Día Festivo Nacional en honor a la Virgen de Suyapa,1,2013-01-22,https://www.tsc.gob.hn/web/leyes/Decreto%20188-2012-dia-virgen-de-suyapa.pdf,PENDIENTE DE ARCHIVAR
IDN,Yakarta,"SKB 3 Menteri — Surat Keputusan Bersama de tres ministros, Hari Libur Nasional dan Cuti Bersama 2026",1,,https://setneg.go.id/baca/index/inilah_skb_3_menteri_libur_nasional_dan_cuti_bersama_2026,PENDIENTE DE ARCHIVAR
IRL,Dublín,"Organisation of Working Time Act 1997 (No. 20 of 1997), secciones 13, 15 y 21 y Second Schedule",1,1997-05-07,https://www.irishstatutebook.ie/eli/1997/act/20/enacted/en/print.html,PENDIENTE DE ARCHIVAR
ITA,Roma,"Legge 1° marzo 2024, n. 27 — Istituzione della Giornata dell'unita nazionale e delle Forze armate",1,2024-03-16,https://www.gazzettaufficiale.it/eli/id/2024/03/16/24G00044/sg,PENDIENTE DE ARCHIVAR
ITA,Roma,"Decreto legislativo 8 aprile 2003, n. 66, art. 3 (Orario normale di lavoro), art. 4 (Durata massima dell'orario di lavor",1,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2003-04-08;66,PENDIENTE DE ARCHIVAR
KOR,Seúl,"근로기준법 (Ley de Normas Laborales), articulos 55, 60, 61 y 62",1,2024-10-22,https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&MST=265959&type=XML,PENDIENTE DE ARCHIVAR
KOR,Seúl,"공휴일에 관한 법률 (Ley de días festivos), Ley 18291 de 2021-07-07, vigente desde 2022-01-01; articulos 2, 3 y 4",1,2021-07-07,https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&MST=283311&type=XML,PENDIENTE DE ARCHIVAR
KOR,Seúl,"관공서의 공휴일에 관한 규정 (Reglamento de días festivos de los organos publicos), Decreto Presidencial; articulos 2, 3 y 4",1,,https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&MST=285779&type=XML,PENDIENTE DE ARCHIVAR
KOR,Seúl,"근로기준법 시행령 (Decreto de aplicacion de la Ley de Normas Laborales), artículo 30(2)",1,,https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&MST=270551&type=XML,PENDIENTE DE ARCHIVAR
KOR,Seúl,"노동절 제정에 관한 법률 (Ley del Día del Trabajo), Ley 21134 de 2025-11-11, reforma total de la 근로자의 날 제정에 관한 법률",1,2025-11-11,https://www.law.go.kr/DRF/lawService.do?OC=test&target=law&MST=279809&type=XML,PENDIENTE DE ARCHIVAR
MEX,Ciudad de México,"DECRETO por el que se reforman los articulos 76 y 78 de la Ley Federal del Trabajo, en materia de vacaciones",1,,https://dof.gob.mx/nota_detalle.php?codigo=5675889&fecha=27/12/2022,PENDIENTE DE ARCHIVAR
MEX,Ciudad de México,DECRETO que reforma la fraccion VII del artículo 74 de la Ley Federal del Trabajo,1,,https://dof.gob.mx/nota_detalle.php?codigo=5739950&fecha=30/09/2024,PENDIENTE DE ARCHIVAR
MEX,Ciudad de México,DECRETO por el que se reforman las fracciones IV y XI del Apartado A del Artículo 123 de la Constitución Política de los,1,2026-03-03,https://www.dof.gob.mx/nota_detalle.php?codigo=5781417&fecha=03%2F03%2F2026,PENDIENTE DE ARCHIVAR
NIC,Managua,"Ley 185, Código del Trabajo — arts. 66, 67, 68, 69, 76, 77, 78, 79, 80, 96, 406",1,1996-10-30,http://legislacion.asamblea.gob.ni/gacetas/1996/10/g205.pdf,PENDIENTE DE ARCHIVAR
NIC,Managua,Ley 1118 — declara el Día de la Madre (30 de mayo) feriado nacional; reforma el art. 66 de la Ley 185,1,2022-05-20,http://legislacion.asamblea.gob.ni/gacetas/2022/5/g92.pdf,PENDIENTE DE ARCHIVAR
NIC,Managua,"Ley 1272 — declara feriados nacionales el 18 de enero, 2 de febrero, 21 de febrero y 8 de noviembre; reforma el art. 66",1,2026-01-20,http://legislacion.asamblea.gob.ni/gacetas/2026/1/g11.pdf,PENDIENTE DE ARCHIVAR
NLD,Ámsterdam,"Carta del Ministro de Asuntos Sociales y Empleo al Parlamento, 25 de abril de 2025 (Kamerstuk 36600-XV-110), en respuest",1,,https://zoek.officielebekendmakingen.nl/kst-36600-XV-110.html,PENDIENTE DE ARCHIVAR
NLD,Ámsterdam,"Besluit van 30 januari 2013, nr. 13.000173 — fija el 27 de abril como Koningsdag (Stcrt. 2013, 4075)",1,,https://zoek.officielebekendmakingen.nl/stcrt-2013-4075.html,PENDIENTE DE ARCHIVAR
NLD,Ámsterdam,"Arbeidstijdenwet, artikel 5:5 (wekelijkse onafgebroken rusttijd), artikel 5:6 (arbeid op zondag) y artikel 5:7 (arbeidst",1,,https://zoek.officielebekendmakingen.nl/stb-2006-632.html,PENDIENTE DE ARCHIVAR
NOR,Oslo,"Norsk Lovtidend (gaceta oficial) — leyes modificatorias de la ventana: LOV-2023-03-17-3, LOV-2018-12-20-98, LOV-2021-05-",1,,https://lovdata.no/dokument/LTI/lov/2023-03-17-3,PENDIENTE DE ARCHIVAR
NZL,Auckland,"Minimum Wage Act 1983, s. 11B ('40-hour 5-day week')",1,1983-12-16,https://www.legislation.govt.nz/act/public/1983/0115/latest/DLM74110.html,PENDIENTE DE ARCHIVAR
PER,Lima,Decreto Legislativo 713 — Consolidan la legislacion sobre descansos remunerados de los trabajadores sujetos al regimen l,1,,https://diariooficial.elperuano.pe/Normas/obtenerDocumento?idNorma=110007,PENDIENTE DE ARCHIVAR
PER,Lima,"Ley 31530 — Ley que declara feriado nacional el 6 de agosto, día de la conmemoracion de la Batalla de Junín",1,2022-07-25,https://busquedas.elperuano.pe/dispositivo/NL/2089960-2,PENDIENTE DE ARCHIVAR
PER,Lima,Ley 31788 — Ley que declara Feriado Nacional el 7 de junio en conmemoracion de la Batalla de Arica y del Día de la Bande,1,2023-06-15,https://busquedas.elperuano.pe/dispositivo/NL/2187453-1,PENDIENTE DE ARCHIVAR
POL,Varsovia,"Ustawa z dnia 18 stycznia 1951 r. o dniach wolnych od pracy — texto consolidado, Dz.U. 2025 poz. 296",1,2025-03-11,https://dziennikustaw.gov.pl/D2025000029601.pdf,PENDIENTE DE ARCHIVAR
POL,Varsovia,Ustawa z dnia 6 grudnia 2024 r. o zmianie ustawy o dniach wolnych od pracy oraz niektorych innych ustaw — Dz.U. 2024 poz,1,2024-12-30,https://dziennikustaw.gov.pl/D2024000196501.pdf,PENDIENTE DE ARCHIVAR
POL,Varsovia,"Ustawa z dnia 26 czerwca 1974 r. — Kodeks pracy, texto consolidado Dz.U. 2025 poz. 277; arts. 129, 130, 151(9), 153, 154",1,2025-03-06,https://dziennikustaw.gov.pl/D2025000027701.pdf,PENDIENTE DE ARCHIVAR
POL,Varsovia,"Kodeks pracy, texto consolidado Dz.U. 2016 poz. 1666 — linea base del corte de 2016",1,2016-10-12,https://api.sejm.gov.pl/eli/acts/DU/2016/1666/text.pdf,PENDIENTE DE ARCHIVAR
PRT,Lisboa,"Codigo do Trabalho, aprovado pela Lei n.º 7/2009, de 12 de fevereiro: artigo 203.º (Limites maximos do periodo normal de",1,,https://files.dre.pt/1s/2009/02/03000/0092601029.pdf,PENDIENTE DE ARCHIVAR
PRY,Asunción,Gaceta Oficial del Paraguay,1,,https://www.gacetaoficial.gov.py/,PENDIENTE DE ARCHIVAR
