pais_iso3,pais,jurisdiccion_de_referencia,pais_en,jurisdiccion_de_referencia_en,feriados_registrados,tiene_vacaciones,vacaciones_ausencia,vacaciones_ausencia_motivo
ARG,Argentina,Buenos Aires,Argentina,Buenos Aires,16,1,,
AUS,Australia,Sídney,Australia,Sydney,11,1,,
AUT,Austria,Viena,Austria,Vienna,14,1,,
BEL,Bélgica,Bruselas,Belgium,Brussels,10,1,,
BGR,Bulgaria,Sofía,Bulgaria,Sofia,14,1,,
BOL,Bolivia,Santa Cruz,Bolivia,Santa Cruz,12,0,pendiente,TIPO DE DIA NO RESUELTO. Quince dias calendario y quince habiles difieren en un 40% y la norma no lo dice para el tramo que aplica al trabajador de referencia. Ver H1: es el hueco central de esta unidad y esta abierto a proposito.
BRA,Brasil,São Paulo,Brazil,São Paulo,12,1,,
CAN,Canadá,Toronto,Canada,Toronto,9,1,,
CHE,Suiza,Zúrich,Switzerland,Zurich,9,1,,
CHL,Chile,Santiago,Chile,Santiago,19,1,,
COL,Colombia,Bogotá,Colombia,Bogotá,19,1,,
CRI,Costa Rica,San José,Costa Rica,San José,12,1,,
CZE,República Checa,Praga,Czechia,Prague,13,1,,
DEU,Alemania,Berlín,Germany,Berlin,10,1,,
DNK,Dinamarca,Copenhague,Denmark,Copenhagen,11,1,,
DOM,República Dominicana,Santo Domingo,Dominican Republic,Santo Domingo,12,1,,
ECU,Ecuador,Guayaquil,Ecuador,Guayaquil,12,1,,
ESP,España,Madrid,Spain,Madrid,14,1,,
FIN,Finlandia,Helsinki,Finland,Helsinki,13,1,,
FRA,Francia,París,France,Paris,11,1,,
GBR,Reino Unido,Londres,United Kingdom,London,8,1,,
GRC,Grecia,Atenas,Greece,Athens,9,1,,
GTM,Guatemala,Ciudad de Guatemala,Guatemala,Guatemala City,13,1,,
HND,Honduras,Tegucigalpa,Honduras,Tegucigalpa,9,1,,
HUN,Hungría,Budapest,Hungary,Budapest,11,1,,
IDN,Indonesia,Yakarta,Indonesia,Jakarta,17,1,,
IRL,Irlanda,Dublín,Ireland,Dublin,10,1,,
ISR,Israel,Jerusalén,Israel,Jerusalem,9,1,,
ITA,Italia,Roma,Italy,Rome,12,1,,
JPN,Japón,Tokio,Japan,Tokyo,17,1,,
KOR,Corea del Sur,Seúl,South Korea,Seoul,18,1,,
MEX,México,Ciudad de México,Mexico,Mexico City,10,1,,
NIC,Nicaragua,Managua,Nicaragua,Managua,16,1,,
NLD,Países Bajos,Ámsterdam,Netherlands,Amsterdam,9,1,,
NOR,Noruega,Oslo,Norway,Oslo,12,1,,
NZL,Nueva Zelanda,Auckland,New Zealand,Auckland,12,1,,
PER,Perú,Lima,Peru,Lima,16,1,,
POL,Polonia,Varsovia,Poland,Warsaw,14,1,,
PRT,Portugal,Lisboa,Portugal,Lisbon,13,1,,
PRY,Paraguay,Asunción,Paraguay,Asunción,13,1,,
ROU,Rumanía,Bucarest,Romania,Bucharest,17,1,,
SLV,El Salvador,San Salvador,El Salvador,San Salvador,11,1,,
SVK,Eslovaquia,Bratislava,Slovakia,Bratislava,15,1,,
SWE,Suecia,Estocolmo,Sweden,Stockholm,11,1,,
THA,Tailandia,Bangkok,Thailand,Bangkok,2,1,,
TUR,Turquía,Estambul,Türkiye,Istanbul,8,1,,
USA,Estados Unidos,Nueva York,United States,New York,12,0,no_aplicable,"No existe mandato federal ni estatal de vacaciones anuales pagadas aplicable a la jurisdiccion de referencia, ni en 2016 ni en 2026. No es que no se hallara modificatoria: es que no hay derecho que medir, asi que no hay cantidad que pueda cambiar."
